name,hp,atk,def,spatk,spdef,spd
Mismagius,60,60,60,105,105,105
Honchkrow,100,125,52,105,52,71
Glameow,49,55,42,42,37,85
Purugly,71,82,64,64,59,112
Chingling,45,30,50,65,50,45
Stunky,63,63,47,41,41,74
Skuntank,103,93,67,71,61,84
Bronzor,57,24,86,24,86,23
Bronzong,67,89,116,79,116,33
Bonsly,50,80,95,10,45,10
Mime Jr,20,25,45,70,90,60
Happiny,100,5,5,15,65,30
Chatot,76,65,45,92,42,91
Spiritomb,50,92,108,92,108,35
Gible,58,70,45,40,45,42
Gabite,68,90,65,50,55,82
Garchomp,108,130,95,80,85,102
Mega Garchomp,108,170,115,120,95,92
Munchlax,135,85,40,40,85,5
Riolu,40,70,40,35,40,60
Lucario,70,110,70,115,70,90
Mega Lucario,70,145,88,140,70,112
Hippopotas,68,72,78,38,42,32
Hippowdon,108,112,118,68,72,47
Skorupi,40,50,90,30,55,65
Drapion,70,90,110,60,75,95
Croagunk,48,61,40,61,40,50
Toxicroak,83,106,65,86,65,85
Carnivine,74,100,72,90,72,46
Finneon,49,49,56,49,61,66
Lumineon,69,69,76,69,86,91
Mantyke,45,20,50,60,120,50
Snover,60,62,50,62,60,40
Abomasnow,90,92,75,92,85,60
Mega Abomasnow,90,132,105,132,105,30
Weavile,70,120,65,45,85,125
Magnezone,70,70,115,130,90,60
Lickilicky,110,85,95,80,95,50
Rhyperior,115,140,130,55,55,40
Tangrowth,100,100,125,110,50,50
Electivire,75,123,67,95,85,95
Magmortar,75,95,67,125,95,83
Togekiss,85,50,95,120,115,80
Yanmega,86,76,86,116,56,95
Leafeon,65,110,130,60,65,95
Glaceon,65,60,110,130,95,65
Gliscor,75,95,125,45,75,95
Mamoswine,110,130,80,70,60,80
Porygonz,85,80,70,135,75,90
Mega Gallade,68,165,95,65,115,110
Gallade,68,125,65,65,115,80
Probopass,60,55,145,75,150,40
Dusknoir,45,100,135,65,135,45
Froslass,70,80,70,80,70,110
Rotom,50,50,77,95,77,91
Uxie,75,75,130,75,130,95
Mesprit,80,105,105,105,105,80
Azelf,75,125,70,125,70,115
Dialga,100,120,120,150,100,90
Palkia,90,120,100,150,120,100
Heatran,91,90,106,130,106,77
Regigigas,110,160,110,80,110,100
Origin Giratina,150,120,100,120,100,90
Giratina,150,100,120,100,120,90
Cresselia,120,70,120,75,130,85
Phione,80,80,80,80,80,80
Manaphy,100,100,100,100,100,100
Darkrai,70,90,90,135,90,125
Shaymin Sky,100,103,75,120,75,127
Shaymin,100,100,100,100,100,100
Arceus,120,120,120,120,120,120
Victini,100,100,100,100,100,100
Snivy,45,45,55,45,55,63
Servine,60,60,75,60,75,83
Serperior,75,75,95,75,95,113
Tepig,65,63,45,45,45,45
Pignite,90,93,55,70,55,55
Emboar,110,123,65,100,65,65
Oshawott,55,55,45,63,45,45
Dewott,75,75,60,83,60,60
Samurott,95,100,85,108,70,70
Patrat,45,55,39,35,39,42
Watchog,60,85,69,60,69,77
Lillipup,45,60,45,25,45,55
Herdier,65,80,65,35,65,60
Stoutland,85,110,90,45,90,80
Purrloin,41,50,37,50,37,66
Liepard,64,88,50,88,50,106
Pansage,50,53,48,53,48,64
Simisage,75,98,63,98,63,101
Pansear,50,53,48,53,48,64
Simisear,75,98,63,98,63,101
Panpour,50,53,48,53,48,64
Simipour,75,98,63,98,63,101
Munna,76,25,45,67,55,24
Musharna,116,55,85,107,95,29
Pidove,50,55,50,36,30,43
Tranquill,62,77,62,50,42,65
Unfezant,80,115,80,65,55,93
Blitzle,45,60,32,50,32,76
Zebstrika,75,100,63,80,63,116
Roggenrola,55,75,85,25,25,15
Boldore,70,105,105,50,40,20
Gigalith,85,135,130,60,80,25
Woobat,65,45,43,55,43,72
Swoobat,67,57,55,77,55,114
Drilbur,60,85,40,30,45,68
Excadrill,110,135,60,50,65,88
Audino,103,60,86,60,86,50
Mega Audino,103,60,126,80,126,50
Timburr,75,80,55,25,35,35
Gurdurr,85,105,85,40,50,40
Conkeldurr,105,140,95,55,65,45
Tympole,50,50,40,50,40,64
Palpitoad,75,65,55,65,55,69
Seismitoad,105,95,75,85,75,74
Throh,120,100,85,30,85,45
Sawk,75,125,75,30,75,85
Sewaddle,45,53,70,40,60,42
Swadloon,55,63,90,50,80,42
Leavanny,75,103,80,70,80,92
Venipede,30,45,59,30,39,57
Whirlipede,40,55,99,40,79,47
Scolipede,60,100,89,55,69,112
Cottonee,40,27,60,37,50,66
Whimsicott,60,67,85,77,75,116
Petilil,45,35,50,70,50,30
Lilligant,70,60,75,110,75,90
Basculin,70,92,65,80,55,98
Sandile,50,72,35,35,35,65
Krokorok,60,82,45,45,45,74
Krookodile,95,117,80,65,70,92
Darumaka,70,90,45,15,45,50
Galarian Darumaka,70,90,45,15,45,50
Galarian Darmanitan,105,140,55,30,55,95
Darmanitan,105,140,55,30,55,95
Maractus,75,86,67,106,67,60
Dwebble,50,65,85,35,35,55
Crustle,70,105,125,65,75,45
Scraggy,50,75,70,35,70,48
Scrafty,65,90,115,45,115,58
Sigilyph,72,58,80,103,80,97
Galarian Yamask,38,55,85,30,65,30
Yamask,38,30,85,55,65,30
Cofagrigus,58,50,145,95,105,30
Tirtouga,54,78,103,53,45,22
Carracosta,74,108,133,83,65,32
Archen,55,112,45,74,45,70
Archeops,75,140,65,112,65,110
Trubbish,50,50,62,40,62,65
Garbodor,80,95,82,60,82,75
Zorua,40,65,40,80,40,65
Zoroark,60,105,60,120,60,105
Minccino,55,50,40,40,40,75
Cinccino,75,95,60,65,60,115
Gothita,45,30,50,55,65,45
Gothorita,60,45,70,75,85,55
Gothitelle,70,55,95,95,110,65
Solosis,45,30,40,105,50,20
Duosion,65,40,50,125,60,30
Reuniclus,110,65,75,125,85,30
Ducklett,62,44,50,44,50,55
Swanna,75,87,63,87,63,98
Vanillite,36,50,50,65,60,44
Vanillish,51,65,65,80,75,59
Vanilluxe,71,95,85,110,95,79
Deerling,60,60,50,40,50,75
Sawsbuck,80,100,70,60,70,95
Emolga,55,75,60,75,60,103
Karrablast,50,75,45,40,45,60
Escavalier,70,135,105,60,105,20
Foongus,69,55,45,55,55,15
Amoonguss,114,85,70,85,80,30
Frillish,55,40,50,65,85,40
Jellicent,100,60,70,85,105,60
Alomomola,165,75,80,40,45,65
Joltik,50,47,50,57,50,65
Galvantula,70,77,60,97,60,108
Ferroseed,44,50,91,24,86,10
Ferrothorn,74,94,131,54,116,20
Klink,40,55,70,45,60,30
Klang,60,80,95,70,85,50
Klinklang,60,100,115,70,85,90
Tynamo,35,55,40,45,40,60
Eelektrik,65,85,70,75,70,40
Eelektross,85,115,80,105,80,50
Elgyem,55,55,55,85,55,30
Beheeyem,75,75,75,125,95,40
Litwick,50,30,55,65,55,20
Lampent,60,40,60,95,60,55
Chandelure,60,55,90,145,90,80
Axew,46,87,60,30,40,57
Fraxure,66,117,70,40,50,67
Haxorus,76,147,90,60,70,97
Cubchoo,55,70,40,60,40,40
Beartic,95,130,80,70,80,50
Cryogonal,80,50,50,95,135,105
Shelmet,50,40,85,40,65,25
Accelgor,80,70,40,100,60,145
Galarian Stunfisk,109,81,99,66,84,32
Stunfisk,109,66,84,81,99,32
Mienfoo,45,85,50,55,50,65
Mienshao,65,125,60,95,60,105
Druddigon,77,120,90,60,90,48
Golett,59,74,50,35,50,35
Golurk,89,124,80,55,80,55
Pawniard,45,85,70,40,40,60
Bisharp,65,125,100,60,70,70
Bouffalant,95,110,95,40,95,55
Rufflet,70,83,50,37,50,60
Braviary,100,123,75,57,75,80
Vullaby,70,55,75,45,65,60
Mandibuzz,110,65,105,55,95,80
Heatmor,85,97,66,105,66,65
Durant,58,109,112,48,48,109
Deino,52,65,50,45,50,38
Zweilous,72,85,70,65,70,58
Hydreigon,92,105,90,125,90,98
Larvesta,55,85,55,50,55,60
Volcarona,85,60,65,135,105,100
Cobalion,91,90,129,90,72,108
Terrakion,91,129,90,72,90,108
Virizion,91,90,72,90,129,108
Tornadus Therian,79,100,80,110,90,121
Tornadus,79,115,70,125,80,111
Thundurus Therian,79,105,70,145,80,101
Thundurus,79,115,70,125,80,111
Reshiram,100,120,100,150,120,90
Zekrom,100,150,120,120,100,90
Landorus,89,125,90,115,80,101
Landorus Therian,89,145,90,105,80,91
Black Kyurem,125,170,100,120,90,95
Kyurem,125,130,90,130,90,95
White Kyurem,125,120,90,170,100,95
Keldeo,91,72,90,129,90,108
Meloetta Pirouette,100,128,90,77,77,128
Meloetta,100,77,77,128,128,90
Genesect,71,120,95,120,95,99
Chespin,56,61,65,48,45,38
Quilladin,61,78,95,56,58,57
Chesnaught,88,107,122,74,75,64
Fennekin,40,45,40,62,60,60
Braixen,59,59,58,90,70,73
Delphox,75,69,72,114,100,104
Froakie,41,56,40,62,44,71
Frogadier,54,63,52,83,56,97
Greninja,72,95,67,103,71,122
Ash Greninja,72,145,67,153,71,132
Bunnelby,38,36,38,32,36,57
Diggersby,85,56,77,50,77,78
Fletchling,45,50,43,40,38,62
Fletchinder,62,73,55,56,52,84
Talonflame,78,81,71,74,69,126
Scatterbug,38,35,40,27,25,35
Spewpa,45,22,60,27,30,29
Vivillon,80,52,50,90,50,89
Litleo,62,50,58,73,54,72
Pyroar,86,68,72,109,66,106
Flabebe,44,38,39,61,79,42
Floette,54,45,47,75,98,52
Florges,78,65,68,112,154,75
Skiddo,66,65,48,62,57,52
Gogoat,123,100,62,97,81,68
Pancham,67,82,62,46,48,43
Pangoro,95,124,78,69,71,58
Furfrou,75,80,60,65,90,102
Espurr,62,48,54,63,60,68
Meowstic,74,48,76,83,81,104
Honedge,45,80,100,35,37,28
Doublade,59,110,150,45,49,35
Aegislash,60,50,150,50,150,60
Aegislash Blade,60,140,50,140,50,60
Spritzee,78,52,60,63,65,23
Aromatisse,101,72,72,99,89,29
Swirlix,62,48,66,59,57,49
Slurpuff,82,80,86,85,75,72
Inkay,53,54,53,37,46,45
Malamar,86,92,88,68,75,73
Binacle,42,52,67,39,56,50
Barbaracle,72,105,115,54,86,68
Skrelp,50,60,60,60,60,30
Dragalge,65,75,90,97,123,44
Clauncher,50,53,62,58,63,44
Clawitzer,71,73,88,120,89,59
Helioptile,44,38,33,61,43,70
Heliolisk,62,55,52,109,94,109
Tyrunt,58,89,77,45,45,48
Tyrantrum,82,121,119,69,59,71
Amaura,77,59,50,67,63,46
Aurorus,123,77,72,99,92,58
Sylveon,95,65,65,110,130,60
Hawlucha,78,92,75,74,63,118
Dedenne,67,58,57,81,67,101
Carbink,50,50,150,50,150,50
Goomy,45,50,35,55,75,40
Sliggoo,68,75,53,83,113,60
Goodra,90,100,70,110,150,80
Klefki,57,80,91,80,87,75
Phantump,43,70,48,50,60,38
Trevenant,85,110,76,65,82,56
Pumpkaboo,49,66,70,44,55,51
Gourgeist,65,90,122,58,75,84
Bergmite,55,69,85,32,35,28
Avalugg,95,117,184,44,46,28
Noibat,40,30,35,45,40,55
Noivern,85,70,80,97,80,123
Xerneas,126,131,95,131,98,99
Yveltal,126,131,95,131,98,99
Zygarde Complete,216,100,121,91,95,85
Zygarde 10,54,100,71,61,85,115
Zygarde,108,100,121,81,95,95
Mega Diancie,50,160,110,160,110,110
Diancie,50,100,150,100,150,50
Hoopa,80,110,60,150,130,70
Hoopa Unbound,80,160,60,170,130,80
Volcanion,80,110,120,130,90,70
Rowlet,68,55,55,50,50,42
Dartrix,78,75,75,70,70,52
Decidueye,78,107,75,100,100,70
Litten,45,65,40,60,40,70
Torracat,65,85,50,80,50,90
Incineroar,95,115,90,80,90,60
Popplio,50,54,54,66,56,40
Brionne,60,69,69,91,81,50
Primarina,80,74,74,126,116,60
Pikipek,35,75,30,30,30,65
Trumbeak,55,85,50,40,50,75
Toucannon,80,120,75,75,75,60
Yungoos,48,70,30,30,30,45
Gumshoos,88,110,60,55,60,45
Grubbin,47,62,45,55,45,46
Charjabug,57,82,95,55,75,36
Vikavolt,77,70,90,145,75,43
Crabrawler,47,82,57,42,47,63
Crabominable,97,132,77,62,67,43
Oricorio,75,70,70,98,70,93
Cutiefly,40,45,40,55,40,84
Ribombee,60,55,60,95,70,124
Rockruff,45,65,40,30,40,60
Lycanroc Midnight,85,115,75,55,75,82
Lycanroc Dusk,75,117,65,55,65,110
Lycanroc,75,115,65,55,65,112
Wishiwashi,45,20,20,25,25,40
Wishiwashi School,45,140,130,140,135,30
Mareanie,50,53,62,43,52,45
Toxapex,50,63,152,53,142,35
Mudbray,70,100,70,45,55,45
Mudsdale,100,125,100,55,85,35
Dewpider,38,40,52,40,72,27
Araquanid,68,70,92,50,132,42
Fomantis,40,55,35,50,35,35
Lurantis,70,105,90,80,90,45
Morelull,40,35,55,65,75,15
Shiinotic,60,45,80,90,100,30
Salandit,48,44,40,71,40,77
Salazzle,68,64,60,111,60,117
Stufful,70,75,50,45,50,50
Bewear,120,125,80,55,60,60
Bounsweet,42,30,38,30,38,32
Steenee,52,40,48,40,48,62
Tsareena,72,120,98,50,98,72
Comfey,51,52,90,82,110,100
Oranguru,90,60,80,90,110,60
Passimian,100,120,90,40,60,80
Wimpod,25,35,40,20,30,80
Golisopod,75,125,140,60,90,40
Sandygast,55,55,80,70,45,15
Palossand,85,75,110,100,75,35
Pyukumuku,55,60,130,30,130,5
Type Null,95,95,95,95,95,59
Silvally,95,95,95,95,95,95
Minior Core,60,100,60,100,60,120
Minior,60,60,100,60,100,60
Komala,65,115,65,75,95,65
Turtonator,60,78,135,91,85,36
Togedemaru,65,98,63,40,73,96
Mimikyu,55,90,80,50,105,96
Bruxish,68,105,70,70,70,92
Drampa,78,60,85,135,91,36
Dhelmise,70,131,100,86,90,40
Jangmo O,45,55,65,45,45,45
Hakamo O,55,75,90,65,70,65
Kommo O,75,110,125,100,105,85
Tapu Koko,70,115,85,95,75,130
Tapu Lele,70,85,75,130,115,95
Tapu Bulu,70,130,115,85,95,75
Tapu Fini,70,75,115,95,130,85
Cosmog,43,29,31,29,31,37
Cosmoem,43,29,131,29,131,37
Solgaleo,137,137,107,113,89,97
Lunala,137,113,89,137,107,97
Nihilego,109,53,47,127,131,103
Buzzwole,107,139,139,53,53,79
Pheromosa,71,137,37,137,37,151
Xurkitree,83,89,71,173,71,83
Celesteela,97,101,103,107,101,61
Kartana,59,181,131,59,31,109
Guzzlord,223,101,53,97,53,43
Dawn Wings Necrozma,97,113,109,157,127,77
Dusk Mane Necrozma,97,157,127,113,109,77
Necrozma,97,107,101,127,89,79
Ultra Necrozma,97,167,97,167,97,129
Magearna,80,95,115,130,115,65
Marshadow,90,125,80,90,90,125
Poipole,67,73,67,73,67,73
Naganadel,73,73,73,127,73,121
Stakataka,61,131,211,53,101,13
Blacephalon,53,127,53,151,79,107
Zeraora,88,112,75,102,80,143
Meltan,46,65,65,55,35,34
Melmetal,135,143,143,80,65,34
Zacian,92,170,115,80,115,148
Zamazenta,92,130,145,80,145,128
Eternamax Eternatus,255,115,250,125,250,130
Eternatus,140,85,95,145,95,130
Regieleki,80,100,50,100,50,200
Regidrago,200,100,50,100,50,80
Grookey,50,65,50,40,40,65
Thwackey,70,85,70,55,60,80
Rillaboom,100,125,90,60,70,85
Scorbunny,50,71,40,40,40,69
Raboot,65,86,60,55,60,94
Cinderace,80,116,75,65,75,119
Sobble,50,40,40,70,40,70
Drizzile,65,60,55,95,55,90
Inteleon,70,85,65,125,65,120
Skwovet,70,55,55,35,35,25
Greedent,120,95,95,55,75,20
Rookidee,38,47,35,33,35,57
Corvisquire,68,67,55,43,55,77
Corviknight,98,87,105,53,85,67
Blipbug,25,20,20,25,45,45
Dottler,50,35,80,50,90,30
Orbeetle,60,45,110,80,120,90
Nickit,40,28,28,47,52,50
Thievul,70,58,58,87,92,90
Gossifleur,40,40,60,40,60,10
Eldegoss,60,50,90,80,120,60
Wooloo,42,40,55,40,45,48
Dubwool,72,80,100,60,90,88
Chewtle,50,64,50,38,38,44
Drednaw,90,115,90,48,68,74
Yamper,59,45,50,40,50,26
Boltund,69,90,60,90,60,121
Rolycoly,30,40,50,40,50,30
Carkol,80,60,90,60,70,50
Coalossal,110,80,120,80,90,30
Applin,40,40,80,40,40,20
Flapple,70,110,80,95,60,70
Appletun,110,85,80,100,80,30
Silicobra,52,57,75,35,50,46
Sandaconda,72,107,125,65,70,71
Cramorant,70,85,55,85,95,85
Arrokuda,41,63,40,40,30,66
Barraskewda,61,123,60,60,50,136
Toxel,40,38,35,54,35,40
Toxtricity Low Key,75,98,70,114,70,75
Toxtricity Amped,75,98,70,114,70,75
Sizzlipede,50,65,45,50,50,45
Centiskorch,100,115,65,90,90,65
Clobbopus,50,68,60,50,50,32
Grapploct,80,118,90,70,80,42
Sinistea,40,45,45,74,54,50
Polteageist,60,65,65,134,114,70
Hatenna,42,30,45,56,53,39
Hattrem,57,40,65,86,73,49
Hatterene,57,90,95,136,103,29
Impidimp,45,45,30,55,40,50
Morgrem,65,60,45,75,55,70
Grimmsnarl,95,120,65,95,75,60
Obstagoon,93,90,101,60,81,95
Perrserker,70,110,100,50,60,50
Cursola,60,95,50,145,130,30
Sirfetchd,62,135,95,68,82,65
Mr Rime,80,85,75,110,100,70
Runerigus,58,95,145,50,105,30
Milcery,45,40,40,50,61,34
Alcremie,65,60,75,110,121,64
Falinks,65,100,100,70,60,75
Pincurchin,48,101,95,91,85,15
Snom,30,25,35,45,30,20
Frosmoth,70,65,60,125,90,65
Stonjourner,100,125,135,20,20,70
Eiscue,75,80,110,65,90,50
Indeedee,60,65,55,105,95,95
Morpeko,58,95,58,70,58,97
Cufant,72,80,49,40,49,40
Copperajah,122,130,69,80,69,30
Dracozolt,90,100,90,80,70,75
Arctozolt,90,100,90,90,80,55
Dracovish,90,90,100,70,80,75
Arctovish,90,90,100,80,90,55
Duraludon,70,95,115,120,50,85
Dreepy,28,60,30,40,30,82
Drakloak,68,80,50,60,50,102
Dragapult,88,120,75,100,75,142
Kubfu,60,90,60,53,50,72
Urshifu,100,130,100,63,60,97
Urshifu Rapid Strike,100,130,100,63,60,97
Zarude,105,120,105,70,95,105
Glastrier,100,145,130,65,110,30
Spectrier,100,65,60,145,80,130
Calyrex,100,80,80,80,80,80
Shadow Rider Calyrex,100,85,80,165,100,150
Ice Rider Calyrex,100,165,150,85,130,50
Wyrdeer,103,105,72,105,75,65